symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)
LOC107985768	36.58	36.58000183105469	36.58	100.0	100.0	100.0	99.78	99.77999877929688	99.78
LOC107985817	38.93	38.93000030517578	38.93	100.0	100.0	100.0	100.0	100.0	100.0
LOC101929643	39.13	39.130001068115234	39.13	100.0	100.0	100.0	100.0	100.0	100.0
LOC105374363	40.82	40.81999969482422	40.82	100.0	100.0	100.0	100.0	100.0	100.0
LOC107984111	38.1	38.099998474121094	38.1	100.0	100.0	100.0	100.0	100.0	100.0
LINC02034	40.8	40.79999923706055	40.8	100.0	100.0	100.0	100.0	100.0	100.0
LOC105377365	35.54	35.540000915527344	35.54	100.0	100.0	100.0	100.0	100.0	100.0
LOC107986095	40.04	40.040000915527344	40.04	100.0	100.0	100.0	100.0	100.0	100.0
MIR513A2	27.17	27.170000076293945	27.17	100.0	100.0	100.0	100.0	100.0	100.0
MIR584	34.67	34.66999816894531	34.67	100.0	100.0	100.0	100.0	100.0	100.0
MIR596	44.73	44.72999954223633	44.73	100.0	100.0	100.0	100.0	100.0	100.0
LOC112268158	36.09	36.09000015258789	36.09	100.0	100.0	100.0	100.0	100.0	100.0
C15orf38-AP3S2	37.57	37.56999969482422	37.57	100.0	100.0	100.0	99.18	99.18000030517578	99.18
TMEM265	32.9	32.900001525878906	32.9	100.0	100.0	100.0	99.76	99.76000213623047	99.76
LOC105370504	36.09	36.09000015258789	36.09	100.0	100.0	100.0	98.48	98.4800033569336	98.48
CD68	29.94	29.940000534057617	29.94	100.0	100.0	100.0	97.52	97.5199966430664	97.52
C5orf63	35.36	35.36000061035156	35.36	100.0	100.0	100.0	100.0	100.0	100.0
LOC105378862	35.26	35.2599983215332	35.26	100.0	100.0	100.0	100.0	100.0	100.0
AGAP7P	29.08	29.079999923706055	29.08	96.76	96.76000213623047	96.76	83.92	83.91999816894531	83.92
LOC107986351	13.11	13.109999656677246	13.11	58.38	58.380001068115234	58.38	20.0	20.0	20.0
LOC101929895	39.07	39.06999969482422	39.07	100.0	100.0	100.0	90.35	90.3499984741211	90.35
LOC105377890	37.98	37.97999954223633	37.98	100.0	100.0	100.0	100.0	100.0	100.0
LOC102723750	40.09	40.09000015258789	40.09	100.0	100.0	100.0	100.0	100.0	100.0
LOC105376238	35.02	35.02000045776367	35.02	100.0	100.0	100.0	100.0	100.0	100.0
LOC101927401	41.8	41.79999923706055	41.8	100.0	100.0	100.0	100.0	100.0	100.0
ANKFY1	38.94	38.939998626708984	38.94	100.0	100.0	100.0	100.0	100.0	100.0
PBRM1	37.25	37.25	37.25	100.0	100.0	100.0	99.84	99.83999633789062	99.84
DNAH3	35.37	35.369998931884766	35.37	100.0	100.0	100.0	99.89	99.88999938964844	99.89
LOC105378230	38.88	38.880001068115234	38.88	100.0	100.0	100.0	93.84	93.83999633789062	93.84
SNORD115-28	56.27	56.27000045776367	56.27	100.0	100.0	100.0	100.0	100.0	100.0
LINC01139	33.75	33.75	33.75	100.0	100.0	100.0	100.0	100.0	100.0
WWC2-AS2	37.93	37.93000030517578	37.93	100.0	100.0	100.0	100.0	100.0	100.0
GOLGA8IP	25.83	25.829999923706055	25.83	99.26	99.26000213623047	99.26	66.46	66.45999908447266	66.46
BCL9	37.04	37.040000915527344	37.04	100.0	100.0	100.0	99.32	99.31999969482422	99.32
EGR3	40.45	40.45000076293945	40.45	99.22	99.22000122070312	99.22	94.12	94.12000274658203	94.12
TOP3A	39.48	39.47999954223633	39.48	100.0	100.0	100.0	99.82	99.81999969482422	99.82
IDE	39.08	39.08000183105469	39.08	100.0	100.0	100.0	98.35	98.3499984741211	98.35
SLC30A6	38.42	38.41999816894531	38.42	100.0	100.0	100.0	100.0	100.0	100.0
CRTAC1	38.88	38.880001068115234	38.88	100.0	100.0	100.0	100.0	100.0	100.0
